method,dataset,n,update_minutes_runs,update_minutes_mean,update_minutes_sample_variance,update_minutes_sample_std,inference_seconds_runs,inference_seconds_mean,inference_seconds_sample_variance,inference_seconds_sample_std,update_peak_gib_runs,update_peak_gib_mean,update_peak_gib_sample_variance,update_peak_gib_sample_std,inference_peak_gib_runs,inference_peak_gib_mean,inference_peak_gib_sample_variance,inference_peak_gib_sample_std,peak_updated_M,final_retained_M,extra_frozen_M,auxiliary_state_MiB
RanPAC,Cars,3,1.519306|1.442296|1.530251,1.497285,0.00229774,0.047935,11.592526|11.782490|11.814782,11.729933,0.01442121,0.120088,5.295629|5.295629|5.295629,5.295629,0.00000000,0.000000,1.395451|1.395451|1.395451,1.395451,0.00000000,0.000000,1.194752,1.189632,0.000000,408.630371
RanPAC,Aircraft,3,2.299292|2.279078|2.366754,2.315041,0.00210783,0.045911,10.341627|10.141629|10.426643,10.303299,0.02140998,0.146322,5.295629|5.295629|5.295629,5.295629,0.00000000,0.000000,1.395451|1.395451|1.395451,1.395451,0.00000000,0.000000,1.194752,1.189632,0.000000,408.630371
FeCAM,Cars,3,1.629551|1.657877|1.664427,1.650618,0.00034360,0.018536,11.755328|12.091243|11.806366,11.884312,0.03276646,0.181015,5.295629|5.295629|5.295629,5.295629,0.00000000,0.000000,1.094007|1.094007|1.094007,1.094007,0.00000000,0.000000,1.194752,1.189632,0.000000,200.195312
FeCAM,Aircraft,3,2.360642|2.357076|2.464959,2.394226,0.00375560,0.061283,10.243961|10.208404|10.426860,10.293075,0.01373987,0.117217,5.295629|5.295629|5.295629,5.295629,0.00000000,0.000000,1.094007|1.094007|1.094007,1.094007,0.00000000,0.000000,1.194752,1.189632,0.000000,200.195312
